State Name,District Name,Dealer Type,Agency Name,Sub District Name,Village Name
West Bengal,Bankura,RETAILER,Amitava Mondal,Bankura - II,
West Bengal,Bankura,RETAILER,Amit Kundu,Bankura - I,
West Bengal,Bankura,RETAILER,Anil Baran Dey,,Sub District Headquater
West Bengal,Bankura,RETAILER,Araboni Ls Pacs Ltd,Onda,Chaulabad
West Bengal,Bankura,RETAILER,Asit Kumar Khan,Jaypur,Gelia
West Bengal,Bankura,RETAILER,Baliara Santore O Sonatapal Skus Ltd,Onda,Beliara
West Bengal,Bankura,RETAILER,Bankim Chandra Makur,Vishnupur,
West Bengal,Bankura,RETAILER,Banshi Skus Ltd,Bankura - I,Banshi
West Bengal,Bankura,RETAILER,Belepal Skus Ltd,Sarenga,Belapal
West Bengal,Bankura,RETAILER,Bhara Skus,Vishnupur,Bhara
West Bengal,Bankura,RETAILER,Bikas Pal,,Sub District Headquater
West Bengal,Bankura,RETAILER,Birashimul Sankrol Deogoria Skus Ltd,Indus,Birshimul
West Bengal,Bankura,RETAILER,Birsinghpur Skus Ltd.,Sonamukhi,Birsingpur
West Bengal,Bankura,RETAILER,Bonmukha Sk Us Ltd(Ok),Kotulpur,Banmukha
West Bengal,Bankura,RETAILER,Chamtamadhabpur Skus,Onda,Elyati
West Bengal,Bankura,RETAILER,Chandan Khan,Barjora,
West Bengal,Bankura,RETAILER,Chichinga Fatika Skus Ltd,Indus,Rol
West Bengal,Bankura,RETAILER,Chittya Ranjan Manna,Sonamukhi,
West Bengal,Bankura,RETAILER,Debabrata Dey,Onda,
West Bengal,Bankura,RETAILER,Debasis Mondal,Khatra,
West Bengal,Bankura,RETAILER,Debendu Duary,Patrasayer,
West Bengal,Bankura,RETAILER,Dibyendu Roy,,Sub District Headquater
West Bengal,Bankura,RETAILER,Dilip Kumar Chand,Ranibundh,Jantadumur
West Bengal,Bankura,RETAILER,Dinabandhu Kundu,Vishnupur,
West Bengal,Bankura,RETAILER,Dinabandhu Nandi,,
West Bengal,Bankura,RETAILER,Dinabondhu Dey,,Sub District Headquater
West Bengal,Bankura,RETAILER,Durga Das Dutta,,
West Bengal,Bankura,RETAILER,Eyakat Mallick,Sonamukhi,
West Bengal,Bankura,RETAILER,Felu Garai,Onda,Sub District Headquater
West Bengal,Bankura,RETAILER,Ganesh Ch. Salui,Khatra,
West Bengal,Bankura,RETAILER,Gopal Ch. Baul,,Sub District Headquater
West Bengal,Bankura,RETAILER,Gopal Ch. Gorai,,Sub District Headquater
West Bengal,Bankura,RETAILER,Gora Chand Kar,Khatra,
West Bengal,Bankura,RETAILER,Guinandi Skus Ltd,Onda,Guinandi
West Bengal,Bankura,RETAILER,Gunamoy Maji,,Sub District Headquater
West Bengal,Bankura,RETAILER,Guruprasad Goswami,Patrasayer,
West Bengal,Bankura,RETAILER,Hari Sadan Dey,,Sub District Headquater
West Bengal,Bankura,RETAILER,Hemanta Manna,Kotulpur,
West Bengal,Bankura,RETAILER,Jadabnagar Skus Ltd,Onda,Jadab Nagar
West Bengal,Bankura,RETAILER,Jagannath Samui,Jaypur,
West Bengal,Bankura,RETAILER,Jamini Mohan Kundu,,Sub District Headquater
West Bengal,Bankura,RETAILER,Jayanta Ash,,Sub District Headquater
West Bengal,Bankura,RETAILER,Jhaladhar Ghosh,,Sub District Headquater
West Bengal,Bankura,RETAILER,Jiabandi Skus Ltd,Vishnupur,Jiabandi
West Bengal,Bankura,RETAILER,Jiakanali Skus,Khatra,Jiakanali
West Bengal,Bankura,RETAILER,Jiten Panda,Khatra,Dhargram
West Bengal,Bankura,RETAILER,Kamala Kanta Sinhamahapatra,Khatra,
West Bengal,Bankura,RETAILER,Kanai Ch. Dey,Kotulpur,
West Bengal,Bankura,RETAILER,Kartick Chandra Rakshit,Vishnupur,Sub District Headquater
West Bengal,Bankura,RETAILER,Kartik Chandra Bisui,,Sub District Headquater
West Bengal,Bankura,RETAILER,Kelebola Skus Ltd,Bankura - II,Kelebala
West Bengal,Bankura,RETAILER,Kenety Skus Ltd,Indus,Keneti
West Bengal,Bankura,RETAILER,Kochkunda Skus Ltd,Barjora,Koch Kunda
West Bengal,Bankura,RETAILER,Krishi Bipani,Onda,Nakai Guri
West Bengal,Bankura,RETAILER,Kuchiakole Skus,Jaypur,Kuchiakol
West Bengal,Bankura,RETAILER,Kurebakra Skus Ltd,Khatra,
West Bengal,Bankura,RETAILER,Kushmuri Skus Ltd,Indus,Kushmuri
West Bengal,Bankura,RETAILER,Lego Skus,Kotulpur,Lego
West Bengal,Bankura,RETAILER,Lurka Skus Ltd,Raipur,Lurka
West Bengal,Bankura,RETAILER,Machatora Skus Ltd,Simlapal,Machatora
West Bengal,Bankura,RETAILER,Madan Chandra Nandi,Jaypur,Maynapur
West Bengal,Bankura,RETAILER,Madhurpur Skus,Jaypur,Madhurpur
West Bengal,Bankura,RETAILER,Madhusudan Guin,,Sub District Headquater
West Bengal,Bankura,RETAILER,Majirdanga Skus,Sonamukhi,Majir Danga
West Bengal,Bankura,RETAILER,Mangalpur Skus Ltd,Indus,Mangalpur
West Bengal,Bankura,RETAILER,Marasole Skus Ltd,Raipur,Marosol
West Bengal,Bankura,RETAILER,Matgoda L/S Pacs Ltd,Raipur,Matgoda
West Bengal,Bankura,RETAILER,Molebona Skus Ltd,Bankura - I,Molbana
West Bengal,Bankura,RETAILER,Morar Skus,Vishnupur,Marar
West Bengal,Bankura,RETAILER,Moudi Skus,Onda,Maudi
West Bengal,Bankura,RETAILER,Mrinal Kanti Mahapatra,Khatra,Bagjabra
West Bengal,Bankura,RETAILER,M/S Krishi Seba Kendra,Bankura - I,
West Bengal,Bankura,RETAILER,Mukundapur Skus,Simlapal,Mukundapur
West Bengal,Bankura,RETAILER,Muramouli Skus Ltd,Raipur,
West Bengal,Bankura,RETAILER,Nandadulal Dey,Vishnupur,Sub District Headquater
West Bengal,Bankura,RETAILER,Narendranath Baj,Patrasayer,
West Bengal,Bankura,RETAILER,Natherdanga Belut Skus Ltd,Indpur,Natherdanga
West Bengal,Bankura,RETAILER,Netai  Dutta,,Sub District Headquater
West Bengal,Bankura,RETAILER,Netkamla Skus Ltd,Saltora,Netkamla
West Bengal,Bankura,RETAILER,Nibraparulia  Indabinda Skus L,Sarenga,Nibra
West Bengal,Bankura,RETAILER,Nihar Baransannigrahi,,Sub District Headquater
West Bengal,Bankura,RETAILER,Nutangram Skus,Onda,Nutangram
West Bengal,Bankura,RETAILER,Onda Ls Pcacs,Onda,Onda
West Bengal,Bankura,RETAILER,Paharpur Skus,Onda,Paharpur
West Bengal,Bankura,RETAILER,Pairachali Skus,Indpur,
